Maxima,for,Volume,#0,(Coordinates
Index,Intensity,RL[mm],AP[mm],IS[mm]
-----,---------,------,------,------
1,10.000,8.00,-24.00,36.00
2,10.000,6.00,48.00,24.00
3,9.000,2.00,62.00,52.00
4,9.000,-2.00,34.00,32.00
5,9.000,-44.00,64.00,32.00
6,8.000,-44.00,46.00,42.00
7,8.000,4.00,-24.00,26.00
8,8.000,26.00,18.00,-4.00
9,8.000,26.00,30.00,-4.00
10,8.000,-22.00,16.00,-26.00
11,7.000,0.00,2.00,56.00
12,7.000,26.00,70.00,50.00
13,7.000,-34.00,-2.00,48.00
14,7.000,16.00,74.00,42.00
15,7.000,40.00,52.00,40.00
16,7.000,-32.00,54.00,40.00
17,7.000,4.00,18.00,18.00
18,7.000,-26.00,26.00,-20.00
19,6.000,10.00,2.00,58.00
20,6.000,28.00,12.00,56.00
21,6.000,-38.00,36.00,54.00
22,6.000,-44.00,-8.00,52.00
23,6.000,-8.00,-8.00,50.00
24,6.000,48.00,44.00,50.00
25,6.000,-8.00,58.00,44.00
26,6.000,-44.00,-16.00,40.00
27,6.000,48.00,-2.00,40.00
28,6.000,50.00,48.00,38.00
29,6.000,-16.00,44.00,32.00
30,6.000,-2.00,70.00,30.00
31,6.000,-26.00,-44.00,28.00
32,6.000,10.00,4.00,28.00
33,6.000,22.00,-38.00,26.00
34,6.000,42.00,-6.00,26.00
35,6.000,-10.00,38.00,26.00
36,6.000,-18.00,56.00,26.00
37,6.000,34.00,16.00,8.00
38,6.000,-18.00,-14.00,-2.00
39,6.000,42.00,30.00,-2.00
40,6.000,12.00,-60.00,-8.00
41,6.000,-48.00,-8.00,-8.00
42,6.000,16.00,6.00,-14.00
43,6.000,18.00,14.00,-22.00
44,6.000,28.00,28.00,-22.00
45,5.000,28.00,-24.00,52.00
46,5.000,-16.00,20.00,42.00
47,5.000,36.00,-26.00,38.00
48,5.000,50.00,14.00,36.00
49,5.000,4.00,24.00,34.00
50,5.000,-38.00,-30.00,32.00
51,5.000,26.00,46.00,32.00
52,5.000,-10.00,-52.00,26.00
53,5.000,18.00,-14.00,26.00
54,5.000,30.00,-14.00,22.00
55,5.000,-42.00,18.00,20.00
56,5.000,-4.00,-56.00,18.00
57,5.000,32.00,-38.00,18.00
58,5.000,46.00,34.00,16.00
59,5.000,24.00,-12.00,14.00
60,5.000,36.00,56.00,14.00
61,5.000,30.00,-24.00,12.00
62,5.000,-48.00,22.00,12.00
63,5.000,8.00,-56.00,10.00
64,5.000,-34.00,-8.00,-4.00
65,5.000,48.00,-4.00,-6.00
66,5.000,-42.00,36.00,-6.00
67,5.000,22.00,-54.00,-12.00
68,5.000,60.00,38.00,-12.00
69,5.000,-50.00,8.00,-16.00
70,4.000,10.00,22.00,68.00
71,4.000,-16.00,36.00,64.00
72,4.000,8.00,14.00,54.00
73,4.000,-52.00,22.00,44.00
74,4.000,-30.00,22.00,44.00
75,4.000,52.00,32.00,38.00
76,4.000,6.00,48.00,38.00
77,4.000,22.00,-38.00,36.00
78,4.000,-18.00,-26.00,36.00
79,4.000,-2.00,-6.00,36.00
80,4.000,-34.00,-10.00,34.00
81,4.000,-56.00,10.00,30.00
82,4.000,-36.00,18.00,28.00
83,4.000,16.00,70.00,28.00
84,4.000,-38.00,-16.00,22.00
85,4.000,-38.00,-2.00,20.00
86,4.000,36.00,-6.00,18.00
87,4.000,-10.00,46.00,14.00
88,4.000,-54.00,12.00,8.00
89,4.000,-62.00,22.00,4.00
90,4.000,-64.00,34.00,0.00
91,4.000,-34.00,56.00,-2.00
92,4.000,38.00,-26.00,-4.00
93,4.000,40.00,-10.00,-6.00
94,4.000,-48.00,58.00,-6.00
95,4.000,34.00,6.00,-8.00
96,4.000,-62.00,20.00,-10.00
97,4.000,-40.00,0.00,-12.00
98,4.000,56.00,32.00,-20.00
99,3.000,12.00,10.00,72.00
100,3.000,28.00,48.00,62.00
101,3.000,-26.00,18.00,56.00
102,3.000,14.00,18.00,42.00
103,3.000,-8.00,-18.00,32.00
104,3.000,-48.00,4.00,28.00
105,3.000,-28.00,16.00,16.00
106,3.000,-48.00,54.00,16.00
107,3.000,30.00,-48.00,12.00
108,3.000,10.00,68.00,12.00
109,3.000,12.00,36.00,10.00
110,3.000,-32.00,-10.00,6.00
111,3.000,-6.00,72.00,4.00
112,3.000,36.00,-42.00,0.00
113,3.000,8.00,-2.00,-2.00
114,3.000,-26.00,4.00,-4.00
115,3.000,-12.00,18.00,-4.00
116,3.000,24.00,82.00,-4.00
117,3.000,-18.00,6.00,-14.00
118,3.000,18.00,-24.00,-18.00
119,3.000,-22.00,-22.00,-20.00
120,3.000,64.00,16.00,-22.00
121,3.000,-54.00,-16.00,-28.00
122,3.000,-4.00,26.00,-30.00
123,3.000,16.00,58.00,-32.00
124,2.000,0.00,-18.00,54.00
125,2.000,54.00,20.00,52.00
126,2.000,-14.00,-48.00,8.00
127,2.000,-46.00,-32.00,-4.00
128,2.000,-18.00,-36.00,-8.00
129,2.000,52.00,20.00,-14.00
130,2.000,14.00,94.00,-20.00
131,2.000,-52.00,46.00,-34.00
