Reading input dataset: stat.nii 
Reading input dataset: stat.nii 
Reading volume #0 
Number of volumes = 1 

Maxima for Volume #0 (Coordinates Order = RAI): 
Index      Intensity    RL[mm]    AP[mm]    IS[mm]     Count  Dist[mm]
-----      ---------    ------    ------    ------     -----  --------
    1         10.000      8.00    -24.00     36.00         3    10.770
    2         10.000      6.00     48.00     24.00         1    14.000
    3          9.000      2.00     62.00     52.00         2    13.416
    4          9.000     -2.00     34.00     32.00         1    10.770
    5          9.000    -44.00     64.00     32.00         2    17.550
    6          8.000    -44.00     46.00     42.00         4    14.560
    7          8.000      4.00    -24.00     26.00         1    10.770
    8          8.000     26.00     18.00     -4.00         2    12.000
    9          8.000     26.00     30.00     -4.00         1    12.000
   10          8.000    -22.00     16.00    -26.00         1    12.329
   11          7.000      0.00      2.00     56.00         1    10.198
   12          7.000     26.00     70.00     50.00         1    13.416
   13          7.000    -34.00     -2.00     48.00         2    12.329
   14          7.000     16.00     74.00     42.00         2    13.416
   15          7.000     40.00     52.00     40.00         2    10.954
   16          7.000    -32.00     54.00     40.00         1    14.560
   17          7.000      4.00     18.00     18.00         1    17.088
   18          7.000    -26.00     26.00    -20.00         2    12.329
   19          6.000     10.00      2.00     58.00         2    10.198
   20          6.000     28.00     12.00     56.00         2    20.199
   21          6.000    -38.00     36.00     54.00         1    16.733
   22          6.000    -44.00     -8.00     52.00         1    12.329
   23          6.000     -8.00     -8.00     50.00         1    13.416
   24          6.000     48.00     44.00     50.00         1    12.806
   25          6.000     -8.00     58.00     44.00         2    13.416
   26          6.000    -44.00    -16.00     40.00         1    13.115
   27          6.000     48.00     -2.00     40.00         2    15.748
   28          6.000     50.00     48.00     38.00         1    10.954
   29          6.000    -16.00     44.00     32.00         1    10.392
   30          6.000     -2.00     70.00     30.00         1    18.111
   31          6.000    -26.00    -44.00     28.00         2    18.000
   32          6.000     10.00      4.00     28.00         3    17.550
   33          6.000     22.00    -38.00     26.00         2    10.000
   34          6.000     42.00     -6.00     26.00         2    10.000
   35          6.000    -10.00     38.00     26.00         1    10.392
   36          6.000    -18.00     56.00     26.00         2    13.565
   37          6.000     34.00     16.00      8.00         1    14.560
   38          6.000    -18.00    -14.00     -2.00         2    16.613
   39          6.000     42.00     30.00     -2.00         2    16.125
   40          6.000     12.00    -60.00     -8.00         1    12.329
   41          6.000    -48.00     -8.00     -8.00         1    12.000
   42          6.000     16.00      6.00    -14.00         1    11.489
   43          6.000     18.00     14.00    -22.00         1    11.489
   44          6.000     28.00     28.00    -22.00         1    17.205
   45          5.000     28.00    -24.00     52.00         1    16.248
   46          5.000    -16.00     20.00     42.00         2    14.283
   47          5.000     36.00    -26.00     38.00         1    16.248
   48          5.000     50.00     14.00     36.00         1    16.613
   49          5.000      4.00     24.00     34.00         2    11.832
   50          5.000    -38.00    -30.00     32.00         2    17.205
   51          5.000     26.00     46.00     32.00         2    17.205
   52          5.000    -10.00    -52.00     26.00         1    10.770
