Reading input dataset: stat.nii 
Reading input dataset: stat.nii 
Reading volume #0 
Number of volumes = 1 

Maxima for Volume #0 (Coordinates Order = RAI): 
Index      Intensity    RL[mm]    AP[mm]    IS[mm]     Count  Dist[mm]
-----      ---------    ------    ------    ------     -----  --------
    1         10.000      8.00    -24.00     36.00         4    17.321
    2         10.000      6.00     48.00     24.00         1    14.000
    3          9.000      2.00     62.00     52.00         2    13.416
    4          9.000     -2.00     34.00     32.00         3    17.205
    5          9.000    -44.00     64.00     32.00         2    17.550
    6          8.000    -44.00     46.00     42.00         4    14.560
    7          8.000     26.00     18.00     -4.00         2    12.000
    8          8.000     26.00     30.00     -4.00         1    12.000
    9          8.000    -22.00     16.00    -26.00         1    12.329
   10          7.000      0.00      2.00     56.00         2    14.142
   11          7.000     26.00     70.00     50.00         1    13.416
   12          7.000    -34.00     -2.00     48.00         2    12.329
   13          7.000     16.00     74.00     42.00         2    13.416
   14          7.000     40.00     52.00     40.00         3    15.100
   15          7.000    -32.00     54.00     40.00         1    14.560
   16          7.000      4.00     18.00     18.00         1    18.221
   17          7.000    -26.00     26.00    -20.00         2    12.329
   18          6.000     28.00     12.00     56.00         2    20.199
   19          6.000    -38.00     36.00     54.00         1    16.733
   20          6.000    -44.00     -8.00     52.00         1    12.329
   21          6.000     -8.00     -8.00     50.00         1    13.416
   22          6.000     48.00     44.00     50.00         1    15.100
   23          6.000     -8.00     58.00     44.00         2    13.416
   24          6.000    -44.00    -16.00     40.00         1    13.115
   25          6.000     48.00     -2.00     40.00         2    15.748
   26          6.000     -2.00     70.00     30.00         1    18.111
   27          6.000    -26.00    -44.00     28.00         2    18.868
   28          6.000     10.00      4.00     28.00         3    17.550
   29          6.000     22.00    -38.00     26.00         3    12.806
   30          6.000     42.00     -6.00     26.00         3    15.748
   31          6.000    -18.00     56.00     26.00         2    17.550
   32          6.000     34.00     16.00      8.00         1    14.560
   33          6.000    -18.00    -14.00     -2.00         2    17.205
   34          6.000     42.00     30.00     -2.00         2    16.125
   35          6.000     12.00    -60.00     -8.00         1    12.329
   36          6.000    -48.00     -8.00     -8.00         1    12.000
   37          6.000     18.00     14.00    -22.00         2    17.205
   38          6.000     28.00     28.00    -22.00         1    17.205
   39          5.000     28.00    -24.00     52.00         1    16.248
   40          5.000    -16.00     20.00     42.00         2    14.283
   41          5.000     36.00    -26.00     38.00         1    16.248
   42          5.000     50.00     14.00     36.00         1    16.613
   43          5.000    -38.00    -30.00     32.00         2    17.205
   44          5.000     26.00     46.00     32.00         2    17.205
   45          5.000     18.00    -14.00     26.00         1    13.565
   46          5.000     -4.00    -56.00     18.00         2    14.422
   47          5.000     32.00    -38.00     18.00         3    12.806
   48          5.000     46.00     34.00     16.00         1    18.868
   49          5.000     24.00    -12.00     14.00         2    13.565
   50          5.000     36.00     56.00     14.00         2    22.891
   51          5.000     30.00    -24.00     12.00         1    13.565
   52          5.000    -48.00     22.00     12.00         2    12.329
   53          5.000      8.00    -56.00     10.00         1    14.422
   54          5.000    -34.00     -8.00     -4.00         2    12.806
   55          5.000     48.00     -4.00     -6.00         2    17.321
   56          5.000    -42.00     36.00     -6.00         1    21.909
   57          5.000     22.00    -54.00    -12.00         1    12.329
   58          5.000     60.00     38.00    -12.00         2    19.799
   59          5.000    -50.00      8.00    -16.00         1    13.416
   60          4.000     10.00     22.00     68.00         1    12.806
   61          4.000    -16.00     36.00     64.00         2    22.091
   62          4.000      8.00     14.00     54.00         1    14.000
   63          4.000    -52.00     22.00     44.00         1    18.868
   64          4.000    -30.00     22.00     44.00         1    13.266
   65          4.000     52.00     32.00     38.00         1    17.436
   66          4.000      6.00     48.00     38.00         1    14.000
   67          4.000    -18.00    -26.00     36.00         1    13.416
   68          4.000     -2.00     -6.00     36.00         1    14.000
   69          4.000    -34.00    -10.00     34.00         1    13.115
   70          4.000    -56.00     10.00     30.00         2    18.868
   71          4.000     16.00     70.00     28.00         1    14.560
   72          4.000    -38.00    -16.00     22.00         3    14.000
   73          4.000    -38.00     -2.00     20.00         1    14.142
   74          4.000    -10.00     46.00     14.00         1    17.550
   75          4.000    -54.00     12.00      8.00         1    12.329
   76          4.000    -62.00     22.00      4.00         3    12.806
   77          4.000    -64.00     34.00      0.00         1    12.806
   78          4.000    -34.00     56.00     -2.00         1    14.697
   79          4.000     38.00    -26.00     -4.00         1    16.613
   80          4.000    -48.00     58.00     -6.00         1    14.697
   81          4.000     34.00      6.00     -8.00         1    14.967
   82          4.000    -62.00     20.00    -10.00         1    14.142
   83          4.000    -40.00      0.00    -12.00         2    12.000
   84          3.000     12.00     10.00     72.00         1    12.806
   85          3.000     28.00     48.00     62.00         1    23.664
   86          3.000    -26.00     18.00     56.00         1    13.266
   87          3.000     14.00     18.00     42.00         1    14.000
   88          3.000     -8.00    -18.00     32.00         1    13.416
   89          3.000    -28.00     16.00     16.00         1    20.976
   90          3.000    -48.00     54.00     16.00         1    19.287
   91          3.000     10.00     68.00     12.00         2    17.205
   92          3.000     12.00     36.00     10.00         1    19.391
   93          3.000     -6.00     72.00      4.00         1    18.330
   94          3.000     36.00    -42.00      0.00         1    16.613
   95          3.000      8.00     -2.00     -2.00         1    24.739
   96          3.000    -26.00      4.00     -4.00         2    12.961
   97          3.000    -12.00     18.00     -4.00         1    16.733
   98          3.000     24.00     82.00     -4.00         1    22.361
   99          3.000    -18.00      6.00    -14.00         2    12.961
  100          3.000     18.00    -24.00    -18.00         2    24.495
  101          3.000    -22.00    -22.00    -20.00         2    18.868
  102          3.000     64.00     16.00    -22.00         2    14.967
  103          3.000    -54.00    -16.00    -28.00         1    22.361
  104          3.000     -4.00     26.00    -30.00         1    20.976
  105          3.000     16.00     58.00    -32.00         1    33.823
  106          2.000      0.00    -18.00     54.00         1    13.416
  107          2.000     54.00     20.00     52.00         2    17.550
  108          2.000    -14.00    -48.00      8.00         2    16.248
  109          2.000    -46.00    -32.00     -4.00         1    24.413
  110          2.000    -18.00    -36.00     -8.00         1    18.868
  111          2.000     52.00     20.00    -14.00         1    14.967
  112          2.000     14.00     94.00    -20.00         1    22.361
  113          2.000    -52.00     46.00    -34.00         1    30.725
