Reading input dataset: stat_thr3.nii 
Reading input dataset: stat_thr3.nii 
Reading volume #0 
Number of volumes = 1 

Maxima for Volume #0 (Coordinates Order = RAI): 
Index      Intensity    RL[mm]    AP[mm]    IS[mm]     Count  Dist[mm]
-----      ---------    ------    ------    ------     -----  --------
    1          1.000     10.00     22.00     68.00         1    16.248
    2          1.000    -16.00     36.00     64.00         1    28.142
    3          1.000      6.00     -6.00     60.00         1    20.976
    4          1.000     30.00     18.00     60.00         1    21.909
    5          1.000      8.00     14.00     54.00         1    16.248
    6          1.000    -52.00     22.00     44.00         1    18.868
    7          1.000    -30.00     22.00     44.00         1    16.248
    8          1.000    -16.00     14.00     42.00         1    16.248
    9          1.000     52.00     32.00     38.00         1    34.117
   10          1.000      6.00     48.00     38.00         1    20.494
   11          1.000     22.00    -38.00     36.00         1    16.125
   12          1.000    -18.00    -26.00     36.00         1    22.716
   13          1.000     -2.00     -6.00     36.00         1    25.140
   14          1.000    -34.00    -10.00     34.00         1    14.000
   15          1.000      8.00     28.00     34.00         1    20.494
   16          1.000    -56.00     10.00     30.00         1    18.868
   17          1.000    -36.00     18.00     28.00         2    17.550
   18          1.000     16.00     70.00     28.00         1    26.153
   19          1.000    -20.00    -44.00     22.00         1    22.891
   20          1.000     22.00    -30.00     22.00         1    14.967
   21          1.000    -38.00    -16.00     22.00         3    14.000
   22          1.000    -38.00     -2.00     20.00         1    14.142
   23          1.000     36.00     -6.00     18.00         2    24.658
   24          1.000    -10.00     46.00     14.00         1    28.914
   25          1.000     30.00    -34.00     10.00         1    14.967
   26          1.000    -54.00     12.00      8.00         1    13.416
   27          1.000    -62.00     22.00      4.00         3    12.806
   28          1.000    -64.00     34.00      0.00         1    12.806
   29          1.000    -34.00     56.00     -2.00         1    14.697
   30          1.000     38.00    -26.00     -4.00         1    16.248
   31          1.000     40.00    -10.00     -6.00         1    16.248
   32          1.000    -48.00     58.00     -6.00         1    14.697
   33          1.000     34.00      6.00     -8.00         1    17.205
   34          1.000     48.00     34.00     -8.00         1    14.560
   35          1.000    -62.00     20.00    -10.00         1    14.142
   36          1.000    -40.00      0.00    -12.00         2    27.203
   37          1.000     56.00     32.00    -20.00         1    14.560
