#
#  Cluster report 
#[ Dataset prefix      = stat.nii ]
#[ Threshold vol       = [0] ]
#[ Supplement dat vol  = (none) ]
#[ Option summary      = 1sided,RIGHT_TAIL,1.67,clust_nvox,8,NN1 ]
#[ Threshold value(s)  = right-tail thr=1.670000 ]
#[ Aux. stat. info.    = not a stat! ]
#[ Nvoxel threshold    = 8;  Volume threshold = 64.000 ]
#[ Single voxel volume = 8.000 (microliters) ]
#[ Neighbor type, NN   = 1 ]
#[ Voxel datum type    = float ]
#[ Voxel dimensions    = 2.000 mm X 2.000 mm X 2.000 mm ]
#[ Coordinates Order   = RAI ]
#[ Mean and SEM based on signed voxel intensities ]
#
#Volume  CM RL  CM AP  CM IS  minRL  maxRL  minAP  maxAP  minIS  maxIS    Mean     SEM    Max Int  MI RL  MI AP  MI IS
#------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -------  -------  -------  -----  -----  -----
 101966   -2.2   17.6   19.3  -72.0   68.0  -70.0  106.0  -46.0   78.0   2.9402   0.0037       11  -36.0   58.0   46.0 
   1292   50.9    2.0  -32.1   26.0   68.0  -20.0   26.0  -50.0  -10.0   2.3514   0.0194        5   48.0   -6.0  -44.0 
    518   17.9   82.4  -27.0    6.0   30.0   72.0   92.0  -38.0  -14.0   2.2336   0.0186        3   18.0   82.0  -32.0 
    321  -19.4   72.0  -47.9  -28.0   -8.0   64.0   80.0  -56.0  -40.0        2        0        2  -22.0   76.0  -56.0 
     96   -9.0   50.0  -43.0  -14.0   -4.0   44.0   56.0  -48.0  -38.0        2        0        2   -6.0   52.0  -48.0 
     74   62.0   28.0    9.0   56.0   68.0   24.0   32.0    4.0   14.0        2        0        2   64.0   24.0    4.0 
     46   24.0   35.0   65.0   18.0   30.0   32.0   38.0   62.0   68.0        2        0        2   22.0   36.0   62.0 
     39    3.0   50.2  -38.1    0.0    6.0   46.0   56.0  -44.0  -32.0        2        0        2    4.0   52.0  -44.0 
     36   19.0   41.0   57.0   16.0   22.0   36.0   46.0   52.0   62.0        2        0        2   20.0   40.0   52.0 
     34   28.0   -5.0  -28.0   26.0   30.0  -10.0    0.0  -32.0  -24.0        2        0        2   30.0   -4.0  -32.0 
     22  -37.0   65.0  -44.0  -38.0  -36.0   60.0   70.0  -48.0  -40.0        2        0        2  -38.0   66.0  -48.0 
     20  -39.0   13.0  -35.0  -42.0  -36.0   10.0   16.0  -36.0  -34.0        2        0        2  -38.0   16.0  -36.0 
     20  -11.0  -15.0   57.0  -14.0   -8.0  -16.0  -14.0   54.0   60.0        2        0        2   -8.0  -14.0   54.0 
     14   29.0  -15.0  -24.0   26.0   32.0  -16.0  -14.0  -28.0  -20.0        2        0        2   28.0  -14.0  -28.0 
     12   33.0    4.0   33.0   30.0   36.0    2.0    6.0   32.0   34.0        2        0        2   34.0    6.0   32.0 
     12   33.0   41.0   55.0   32.0   34.0   38.0   44.0   52.0   58.0        2        0        2   32.0   40.0   52.0 
     10    5.0   68.0  -41.0    4.0    6.0   66.0   70.0  -44.0  -38.0        2        0        2    6.0   66.0  -44.0 
      8   17.0   36.0   40.0   14.0   20.0   36.0   36.0   38.0   42.0        2        0        2   18.0   36.0   38.0 
#------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -------  -------  -------  -----  -----  -----
#104540   -1.5   17.8   18.4                                             2.9225   0.0036                             
